Name,Might,Range,Description,SP
Steadfast Axe+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",300
Taciturn Axe,16,1,"If unit is within 3 spaces of an ally, inflicts Atk/Def-6 on foe, deals damage = X% of unit's Def (excluding area-of-effect Specials), and reduces damage from foe's attacks by X% of unit's Def during combat (excluding area-of-effect Specials; if unit is within 3 spaces a certain target ally, X = 30; otherwise, X = 20; if support partner is on player team, targets support partner; if support partner is not on player team, targets ally with the highest Atk on player team, excluding unit).If unit is within 3 spaces of an ally, restores 7 HP to unit after combat.",400
Anchor Axe,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit, grants Atk/Def+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Def ≥ 40 in the same area; max 3), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).",200
Anchor Axe+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit, grants Atk/Def+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Def ≥ 40 in the same area; max 3), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).",300
Bone Carver,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Spirit Forest Writ,14,2,"Accelerates Special trigger (cooldown count-1).Effective against dragon foes. If unit is within 3 spaces of an ally, inflicts Atk/Res-6 on foe during combat, unit makes a guaranteed follow-up attack, disables foe's skills that ""calculate damage using the lower of foe's Def or Res,"" and also, if unit's Res > foe's Res at start of combat, inflicts penalty on foe's Atk/Res during combat = 80% of difference between Res stats at start of combat. (Maximum penalty of -12.)",400
Bright-Shell Egg,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, inflicts Spd/Res-6 on nearest foes within 5 spaces of unit through their next actions. If【Bonus】is active on unit or【Penalty】 is active on foe, inflicts Spd/Res-6 on foe during combat, and also, the following effects will occur based on the value of total bonuses on unit + value of total penalties on foe: if ≥ 6, ""neutralizes effects that prevent unit's follow-up attacks,"" and if ≥ 18, ""foe cannot counterattack."" (Example: if unit has +6 bonus to Atk/Spd and foe has an -6 penalty to Atk/Spd, the calculated total will be 24.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400
Helping Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Helping Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Blackfire Breath,10,1,"If unit is not adjacent to an ally, inflicts Atk/Res-5 on foe during combat and neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",200
Blackfire Breath+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Res-5 on foe during combat and neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300
Bold Kusarigama,11,1,"Accelerates Special trigger (cooldown count-1).Unit attacks twice (even if foe initiates combat, unit attacks twice).If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Def at start of combat + 5, deals damage = 25% of unit's Def (excluding area-of-effect Specials), reduces damage from foe's attacks by 25% of unit's Def (including from area-of-effect Specials; excluding Røkkr area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from unit's and foe's non-Special skills (excluding area-of-effect Specials), neutralizes effects that guarantee unit's and foe's follow-up attacks, and increases the Spd difference necessary for unit or foe to make a follow-up attack by 20 during combat (Spd must be ≥ 25 to make a follow-up attack; stacks with similar skills).If unit initiates combat, grants Special cooldown count-1 to unit before unit's first attack during combat.",400
Fair-Fight Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, deals damage = 25% of unit's Def and reduces damage from foe's attacks by 25% of unit's Def (excluding area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from unit's and foe's non-Special skills (excluding area-of-effect Specials), neutralizes effects that guarantee unit's and foe's follow-up attacks, and increases the Spd difference necessary for unit or foe to make a follow-up attack by 20 during combat (Spd must be ≥ 25 to make a follow-up attack; stacks with similar skills). At start of combat, if unit's HP ≥ 25% and unit initiates combat, grants Special cooldown count-1 to unit before unit's first attack during combat. At start of combat, if unit's HP ≥ 25% and foe initiates combat, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit deals damage to foe using a Special during combat, restores 10 HP to unit (triggers even if 0 damage is dealt).",400
Tiger-Roar Axe,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 during combat, and also, at start of combat, if foe's HP = 100%, unit makes a guaranteed follow-up attack.",400
Blue Yule Axe,16,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6 and【Null Follow-Up】to unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 5 + 15% of unit's Spd at start of combat) and grants Special cooldown count-Y to unit before unit's first attack during combat (Y = number of spaces from start position to end position of whoever initiated combat, max 3; if number of【Bonus】effects active on unit, excluding stat bonuses, ≥ 4, then the value is treated as 3), and restores 7 HP to unit after combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Moon Gradivus,16,1,Unit can counterattack regardless of foe's range. Grants Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.),400
Vengeful Lance,16,1,"Grants Atk+3. If unit is not adjacent to an ally, grants Atk/Spd+6 to unit during combat, and also, if unit's Atk > foe's Def during combat and unit cannot make a follow-up attack, deals damage = 50% of unit's Atk minus foe's Def.",400
Unyielding Oar,16,1,"Enables【Canto (Rem. +1)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, and also, if【Bonus】is active on foe or if unit's Spd ≥ foe's Spd+10, unit attacks twice.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Lion's Heart,16,1,"Enables【Canto (Rem. +1; Min ２)】.Accelerates Special trigger (cooldown count-1).After Canto, if unit entered combat on the current turn, grants another action to unit, and re-enables Canto (once per turn; does not trigger when affected by effects of traps in Aether Raids during Canto).At start of turn, if unit is within 2 spaces of an ally, grants ""unit can move 1 extra space"" to unit (that turn only; does not stack), and grants the following statuses on unit and allies within 2 spaces of unit for 1 turn: ""neutralizes penalties on unit during combat"" and ""Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).""If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat + 5, unit deals +X × 5 damage (X = number of Bonus effects active on unit, excluding stat bonuses + number of Penalty effects active on foe, excluding stat penalties; max 5; excluding area-of-effect Specials), and reduces damage from foe's first attack by X × 3 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, reduces damage by an additional X × 3 when foe's attack triggers foe's Special (excluding area-of-effect Specials), and restores 7 HP to unit after combat.【Canto (Rem. +1; Min ２)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn +1 (min ２; if unit used a movement skill that warped them, unit can move ２ space(s)). (Once per turn. Only highest value applied. Does not stack.)",400
